julen,74,1,215,142.5,245,585,0,0,0,0,0,0
unash ,83,2,217.5,127.5,262.5,607.5,0,0,0,0,0,0
dani,93,3,205,110,245,560,0,0,0,0,0,0
maikel ,83,4,205,130,227,5,560,0,0,0,0,0,0
